turn,player_move,player_result,bot_move,bot_result,player_board,bot_board
"42","D7","miss","I7","already","SSSS....MS|M.M...MM..|..MMM..SMM|M.MSS.MMM.|MM.M.M.MM.|HM..MM.MMM|MM...S.MHM|.MS.MSMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MM.SM..|..MS.MSM..|.MMMMMS.S.|MMHHM.M.M.|HMMMMMMMMM|HM.SM.MHHM|HMMMMMMMMM|MMMMHHHHM.|.MHMMMMMMS|.MHM..M..M"
"43","C10","miss","B4","miss","SSSS....MS|M.MM..MM..|..MMM..SMM|M.MSS.MMM.|MM.M.M.MM.|HM..MM.MMM|MM...S.MHM|.MS.MSMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MM.SM..|..MS.MSM..|.MMMMMS.SM|MMHHM.M.M.|HMMMMMMMMM|HM.SM.MHHM|HMMMMMMMMM|MMMMHHHHM.|.MHMMMMMMS|.MHM..M..M"
"44","C9","sunk","B6","miss","SSSS....MS|M.MM.MMM..|..MMM..SMM|M.MSS.MMM.|MM.M.M.MM.|HM..MM.MMM|MM...S.MHM|.MS.MSMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MM.SM..|..MS.MSMMM|.MMMMMSMHM|MMHHM.MMMM|HMMMMMMMMM|HM.SM.MHHM|HMMMMMMMMM|MMMMHHHHM.|.MHMMMMMMS|.MHM..M..M"
"45","C7","hit","G6","hit","SSSS....MS|M.MM.MMM..|..MMM..SMM|M.MSS.MMM.|MM.M.M.MM.|HM..MM.MMM|MM...H.MHM|.MS.MSMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MM.SM..|..MS.MSMMM|.MMMMMHMHM|MMHHM.MMMM|HMMMMMMMMM|HM.SM.MHHM|HMMMMMMMMM|MMMMHHHHM.|.MHMMMMMMS|.MHM..M..M"
"46","B7","hit","H6","sunk","SSSS....MS|M.MM.MMM..|..MMM..SMM|M.MSS.MMM.|MM.M.M.MM.|HM..MMMMMM|MM..MHMMHM|.MS.MHMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MM.SM..|..MS.MHMMM|.MMMMMHMHM|MMHHM.MMMM|HMMMMMMMMM|HM.SM.MHHM|HMMMMMMMMM|MMMMHHHHM.|.MHMMMMMMS|.MHM..M..M"
"47","A7","sunk","A3","hit","SSHS....MS|M.MM.MMM..|..MMM..SMM|M.MSS.MMM.|MM.M.M.MM.|HM..MMMMMM|MM..MHMMHM|.MS.MHMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MMMHM..|..MS.MHMMM|.MMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HM.SM.MHHM|HMMMMMMMMM|MMMMHHHHM.|.MHMMMMMMS|.MHM..M..M"
"48","B2","miss","A2","hit","SHHS....MS|M.MM.MMM..|..MMM..SMM|M.MSS.MMM.|MM.M.M.MM.|HM..MMMMMM|MM..MHMMHM|.MS.MHMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MMMHM..|.MMS.MHMMM|.MMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HM.SM.MHHM|HMMMMMMMMM|MMMMHHHHM.|.MHMMMMMMS|.MHM..M..M"
"49","J1","miss","A1","hit","HHHS....MS|M.MM.MMM..|..MMM..SMM|M.MSS.MMM.|MM.M.M.MM.|HM..MMMMMM|MM..MHMMHM|.MS.MHMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MMMHM..|.MMS.MHMMM|.MMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HM.SM.MHHM|HMMMMMMMMM|MMMMHHHHM.|.MHMMMMMMS|MMHM..M..M"
"50","I1","miss","A4","sunk","HHHHM...MS|MMMMMMMM..|..MMM..SMM|M.MSS.MMM.|MM.M.M.MM.|HM..MMMMMM|MM..MHMMHM|.MS.MHMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MMMHM..|.MMS.MHMMM|.MMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HM.SM.MHHM|HMMMMMMMMM|MMMMHHHHM.|MMHMMMMMMS|MMHM..M..M"
"51","C1","miss","A8","miss","HHHHM..MMS|MMMMMMMM..|..MMM..SMM|M.MSS.MMM.|MM.M.M.MM.|HM..MMMMMM|MM..MHMMHM|.MS.MHMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MMMHM..|.MMS.MHMMM|MMMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HM.SM.MHHM|HMMMMMMMMM|MMMMHHHHM.|MMHMMMMMMS|MMHM..M..M"
